ft,km,transmission,oem,model,modelYear,price,Insurance Validity,Color,Displacement,Turbo Charger,Super Charger,Location,RTO_grouped
Petrol,63206.0,Manual,Hyundai,Hyundai i10,2012,332000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Petrol,61103.0,Manual,Maruti,Maruti Ciaz,2018,809000.0,Comprehensive,Silver,1462.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Manual,Maruti,Maruti Alto,2008,200000.0,Third Party,Black,796.0,False,False,Bangalore,Unknown
Petrol,112268.0,Automatic,Maruti,Maruti Celerio,2015,347000.0,Comprehensive,White,998.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Manual,Maruti,Maruti Swift,2006,150000.0,Third Party,Other,1298.0,False,False,Bangalore,Maharashtra
Petrol,36977.0,Manual,Hyundai,Hyundai Grand i10,2018,543000.0,Comprehensive,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Manual,Maruti,Maruti Swift,2006,150000.0,Third Party,Other,1298.0,False,False,Bangalore,Maharashtra
Diesel,60000.0,Manual,Hyundai,Hyundai i20,2013,475000.0,Third Party,Other,1396.0,False,False,Bangalore,Unknown
Petrol,35000.0,Automatic,Renault,Renault KWID,2016,350000.0,Third Party,Silver,999.0,False,False,Bangalore,Karnataka
Petrol,90000.0,Manual,Maruti,Maruti Wagon R,2005,170000.0,Third Party,Other,998.0,False,False,Bangalore,Karnataka
Diesel,50000.0,Automatic,Mercedes-Benz,Mercedes-Benz C-Class,2016,2750000.0,Comprehensive,Brown,2143.0,True,False,Bangalore,Karnataka
Diesel,50000.0,Manual,Toyota,Toyota Innova,2015,1449000.0,Third Party,Other,2494.0,True,False,Bangalore,Karnataka
Petrol,50000.0,Manual,Maruti,Maruti Alto K10,2015,300000.0,Third Party,Other,998.0,False,False,Bangalore,Karnataka
Petrol,40082.0,Manual,Maruti,Maruti Wagon R,2014,377000.0,Third Party,Other,998.0,False,False,Bangalore,Karnataka
Diesel,112566.0,Automatic,Maruti,Maruti Swift Dzire,2017,638000.0,Comprehensive,Silver,1248.0,True,False,Bangalore,Karnataka
Petrol,68000.0,Automatic,Hyundai,Hyundai Creta,2020,1575000.0,Comprehensive,White,1397.0,True,False,Bangalore,Karnataka
Petrol,61978.0,Automatic,Maruti,Maruti Wagon R,2021,674000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,27658.0,Manual,Maruti,Maruti Wagon R,2021,613000.0,Third Party,White,1197.0,False,False,Bangalore,Karnataka
Petrol,26000.0,Manual,Kia,Kia Seltos,2019,1145000.0,Comprehensive,Silver,1497.0,False,False,Bangalore,Karnataka
Petrol,43371.0,Manual,Hyundai,Hyundai i20,2015,595000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Ford,Ford Ecosport,2014,450000.0,Third Party,Black,1498.0,True,False,Bangalore,Karnataka
Petrol,67633.0,Manual,Honda,Honda Jazz,2017,599000.0,Third Party,Red,1199.0,False,False,Bangalore,Karnataka
Petrol,76794.0,Manual,Maruti,Maruti Baleno,2016,625000.0,Third Party,Orange,1197.0,False,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Toyota,Toyota Innova,2011,750000.0,Third Party,Other,2494.0,True,False,Bangalore,Karnataka
Petrol,50000.0,Manual,Hyundai,Hyundai i10,2012,320000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,120000.0,Manual,Maruti,Maruti Alto,2006,165000.0,Third Party,Other,796.0,False,False,Bangalore,Karnataka
Diesel,80000.0,Manual,Hyundai,Hyundai Creta,2015,888000.0000000001,Third Party,White,1582.0,True,False,Bangalore,Unknown
Diesel,94932.0,Manual,Maruti,Maruti Swift Dzire,2017,707000.0,Comprehensive,Silver,1248.0,True,False,Bangalore,Karnataka
Petrol,75140.0,Manual,Maruti,Maruti Baleno,2016,593000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,73969.0,Manual,Hyundai,Hyundai i20,2016,685000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,62598.0,Manual,Hyundai,Hyundai Verna,2016,699000.0,Comprehensive,Silver,1591.0,False,False,Bangalore,Karnataka
Petrol,24343.0,Manual,Maruti,Maruti Alto 800,2021,425000.0,Zero Dep,Silver,796.0,False,False,Bangalore,Karnataka
Diesel,110000.0,Manual,Volkswagen,Volkswagen Polo,2014,380000.0,Third Party,Silver,1199.0,False,False,Bangalore,Karnataka
Petrol,58917.0,Manual,Volkswagen,Volkswagen Polo,2017,574000.0,Third Party,White,1199.0,False,False,Bangalore,Karnataka
Petrol,72338.0,Manual,Maruti,Maruti Swift,2016,573000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Diesel,110000.0,Manual,Mahindra,Mahindra XUV500,2015,685000.0,Third Party,Other,2179.0,True,False,Bangalore,Karnataka
Petrol,41000.0,Automatic,Honda,Honda Brio,2012,425000.0,Comprehensive,Silver,1198.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Automatic,Hyundai,Hyundai i10,2009,265000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,25887.0,Manual,Maruti,Maruti Swift Dzire,2019,600000.0,Comprehensive,Orange,1298.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Manual,Honda,Honda City,2016,650000.0,Third Party,Other,1497.0,False,False,Bangalore,Tamil Nadu
Diesel,50000.0,Manual,Maruti,Maruti Swift,2015,430000.0,Third Party,Other,1248.0,True,False,Bangalore,Unknown
Petrol,20000.0,Manual,Volkswagen,Volkswagen Polo,2022,1075000.0,Third Party,Other,999.0,True,False,Bangalore,Karnataka
Petrol,60000.0,Manual,Hyundai,Hyundai Verna,2017,750000.0,Third Party,Other,1591.0,False,False,Bangalore,Karnataka
Petrol,64235.0,Manual,Hyundai,Hyundai i20,2017,615000.0,Third Party,Red,1197.0,False,False,Bangalore,Karnataka
Diesel,83873.0,Manual,Maruti,Maruti Baleno,2018,746000.0,Zero Dep,Silver,1248.0,True,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Skoda,Skoda Rapid,2012,370000.0,Third Party,Other,1598.0,True,False,Bangalore,Karnataka
Petrol,93059.0,Manual,Hyundai,Hyundai Verna,2016,667000.0,Comprehensive,Silver,1591.0,False,False,Bangalore,Karnataka
Petrol,45681.0,Manual,Maruti,Maruti Baleno,2017,634000.0,Zero Dep,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,45938.0,Manual,Honda,Honda Jazz,2017,579000.0,Comprehensive,Brown,1199.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Manual,Maruti,Maruti Baleno,2018,509999.99999999994,Third Party,Other,1197.0,False,False,Bangalore,West Bengal
Petrol,57423.0,Manual,Maruti,Maruti Swift,2018,634000.0,Third Party,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,60942.0,Automatic,Hyundai,Hyundai Grand i10,2015,527000.0,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Automatic,Hyundai,Hyundai Creta,2018,900000.0,Third Party,Other,1591.0,False,False,Bangalore,Unknown
Diesel,80000.0,Manual,Jeep,Jeep Compass,2018,1500000.0,Third Party,Other,1956.0,True,False,Bangalore,Karnataka
Petrol,10000.0,Manual,Hyundai,Hyundai Grand i10 Nios,2021,650000.0,Third Party,Other,1197.0,False,False,Bangalore,West Bengal
Diesel,120000.0,Manual,Toyota,Toyota Innova,2012,965000.0,Third Party,Other,2494.0,True,False,Bangalore,Unknown
Diesel,120000.0,Manual,Hyundai,Hyundai Verna,2013,400000.0,Third Party,Other,1582.0,True,False,Bangalore,Karnataka
Petrol,14949.0,Manual,Hyundai,Hyundai i20,2020,982000.0,Zero Dep,Red,998.0,True,False,Bangalore,Karnataka
Petrol,77995.0,Automatic,Maruti,Maruti Baleno,2017,674000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,20000.0,Manual,Tata,Tata Nexon,2021,810000.0,Third Party,Other,1199.0,False,False,Bangalore,Unknown
Petrol,40908.0,Manual,Maruti,Maruti Ciaz,2020,792000.0,Comprehensive,Blue,1462.0,False,False,Bangalore,Karnataka
Petrol,39693.0,Automatic,Hyundai,Hyundai Grand i10,2016,513000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Manual,Hyundai,Hyundai Verna,2010,360000.0,Third Party,Other,1599.0,False,False,Bangalore,Unknown
Petrol,63411.0,Manual,Maruti,Maruti Swift,2016,579000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Petrol,30000.0,Manual,Maruti,Maruti Swift,2018,550000.0,Third Party,Other,1197.0,False,False,Bangalore,Unknown
Petrol,94221.0,Manual,Hyundai,Hyundai Grand i10,2014,383000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,93975.0,Manual,Hyundai,Hyundai i20,2017,605000.0,Third Party,White,1197.0,False,False,Bangalore,Karnataka
Petrol,30155.0,Manual,Volkswagen,Volkswagen Polo,2020,935000.0,Third Party,Gray,999.0,True,False,Bangalore,Karnataka
Petrol,59006.0,Manual,Volkswagen,Volkswagen Polo,2016,675000.0,Third Party,White,1198.0,False,False,Bangalore,Karnataka
Petrol,18570.0,Automatic,Tata,Tata Nexon,2022,1345000.0,Third Party,White,1199.0,True,False,Bangalore,Karnataka
Diesel,48246.0,Manual,Toyota,Toyota Innova Crysta,2021,2365000.0,Comprehensive,White,2393.0,True,False,Bangalore,Karnataka
Diesel,10000.0,Automatic,Mercedes-Benz,Mercedes-Benz C-Class,2017,3200000.0,Third Party,Other,2143.0,True,False,Bangalore,Karnataka
Diesel,61263.0,Manual,Maruti,Maruti Baleno,2016,734000.0,Third Party,Red,1248.0,True,False,Bangalore,Karnataka
Petrol,65507.0,Manual,Honda,Honda WR-V,2017,701000.0,Third Party,White,1199.0,False,False,Bangalore,Karnataka
Diesel,100000.0,Manual,Renault,Renault Duster,2014,535000.0,Third Party,Other,1461.0,True,False,Bangalore,Unknown
Petrol,26158.0,Manual,Honda,Honda WR-V,2017,789000.0,Comprehensive,Silver,1199.0,False,False,Bangalore,Karnataka
Petrol,35250.0,Manual,Maruti,Maruti Swift,2015,548000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Petrol,40304.0,Manual,Maruti,Maruti Celerio,2015,476999.99999999994,Comprehensive,Other,998.0,False,False,Bangalore,Karnataka
Petrol,56661.0,Manual,Maruti,Maruti Swift,2014,515000.00000000006,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,90213.0,Manual,Hyundai,Hyundai i20,2016,562000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Manual,Volkswagen,Volkswagen Vento,2010,345000.0,Third Party,Other,1598.0,False,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Hyundai,Hyundai Verna,2013,475000.0,Third Party,Other,1582.0,True,False,Bangalore,Karnataka
Petrol,20739.0,Automatic,Honda,Honda Jazz,2021,950000.0,Comprehensive,Brown,1199.0,False,False,Bangalore,Karnataka
Petrol,20000.0,Manual,Hyundai,Hyundai i20,2020,700000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Diesel,10000.0,Automatic,Mercedes-Benz,Mercedes-Benz C-Class,2017,3200000.0,Third Party,Other,2143.0,True,False,Bangalore,Unknown
Diesel,70000.0,Manual,Hyundai,Hyundai i20,2015,550000.0,Third Party,Other,1396.0,True,False,Bangalore,Karnataka
Petrol,47127.0,Manual,Hyundai,Hyundai i20,2015,581000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,47038.0,Manual,Maruti,Maruti Swift,2017,582000.0,Comprehensive,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,120000.0,Manual,Honda,Honda City,2007,185000.0,Third Party,Other,1497.0,False,False,Bangalore,Karnataka
Petrol,40769.0,Manual,Hyundai,Hyundai Grand i10,2018,531000.0,Third Party,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,34757.0,Manual,Hyundai,Hyundai Grand i10,2017,558000.0,Comprehensive,Orange,1197.0,False,False,Bangalore,Karnataka
Petrol,100000.0,Manual,Hyundai,Hyundai Santro Xing,2006,155000.0,Third Party,Other,1086.0,False,False,Bangalore,Karnataka
Petrol,88119.0,Automatic,Hyundai,Hyundai Grand i10,2016,508000.0,Comprehensive,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,57176.0,Manual,Hyundai,Hyundai Grand i10,2017,542000.0,Third Party,Orange,1197.0,False,False,Bangalore,Karnataka
Petrol,62223.0,Manual,Maruti,Maruti Swift,2015,501000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,55000.0,Manual,Maruti,Maruti Ertiga,2018,875000.0,Third Party,Gray,1462.0,False,False,Bangalore,Karnataka
Petrol,20000.0,Manual,Hyundai,Hyundai i10,2010,300000.0,Third Party,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Automatic,Hyundai,Hyundai Grand i10,2018,630000.0,Third Party,Red,1197.0,False,False,Bangalore,Unknown
Petrol,67444.0,Manual,Hyundai,Hyundai i20,2012,417000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,63837.0,Automatic,Maruti,Maruti Baleno,2016,631000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,60777.0,Manual,Maruti,Maruti Swift,2016,544000.0,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,39248.0,Manual,Maruti,Maruti Baleno,2016,704000.0,Third Party,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,96198.0,Manual,Honda,Honda Brio,2015,359000.0,Comprehensive,White,1198.0,False,False,Bangalore,Karnataka
Petrol,50000.0,Automatic,Honda,Honda City,2013,520000.0,Third Party,Other,1497.0,False,False,Bangalore,Karnataka
Petrol,81207.0,Manual,Maruti,Maruti Wagon R,2015,335000.0,Comprehensive,Brown,998.0,False,False,Bangalore,Karnataka
Petrol,48148.0,Manual,Maruti,Maruti Swift,2021,766000.0,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,120000.0,Manual,Maruti,Maruti Celerio,2015,350000.0,Third Party,Other,998.0,False,False,Bangalore,Unknown
Petrol,60000.0,Manual,Maruti,Maruti Alto 800,2014,260000.0,Third Party,Other,796.0,False,False,Bangalore,Karnataka
Petrol,67245.0,Manual,Maruti,Maruti Swift,2015,539000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,30518.0,Automatic,Hyundai,Hyundai Verna,2018,1006000.0,Zero Dep,Silver,1591.0,False,False,Bangalore,Karnataka
Diesel,102407.0,Manual,Maruti,Maruti Ciaz,2018,796000.0,Third Party,White,1248.0,True,False,Bangalore,Karnataka
Petrol,53606.0,Manual,Hyundai,Hyundai i20,2015,636000.0,Zero Dep,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,44253.0,Manual,Maruti,Maruti Baleno,2016,615000.0,Comprehensive,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,34702.0,Manual,Tata,Tata Tiago,2021,718000.0,Third Party,Red,1199.0,False,False,Bangalore,Karnataka
Petrol,42762.0,Manual,Maruti,Maruti Swift,2012,436000.00000000006,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,50000.0,Manual,Maruti,Maruti Alto K10,2015,280000.0,Third Party,Other,998.0,False,False,Bangalore,Unknown
Petrol,30000.0,Automatic,Renault,Renault Triber,2022,780000.0,Third Party,Other,999.0,False,False,Bangalore,Karnataka
Diesel,80000.0,Automatic,Mahindra,Mahindra XUV500,2016,900000.0,Third Party,Other,1997.0,True,False,Bangalore,Uttar Pradesh
Gas,20000.0,Manual,Maruti,Maruti Ertiga,2022,1300000.0,Third Party,Other,1462.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Manual,Maruti,Maruti Swift Dzire,2020,670000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,10000.0,Manual,Maruti,Maruti Baleno,2020,900000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,60000.0,Manual,Maruti,Maruti Baleno,2016,600000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,57459.0,Manual,Hyundai,Hyundai i20,2016,605000.0,Third Party,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,70381.0,Manual,Hyundai,Hyundai Grand i10,2017,559000.0,Zero Dep,Red,1197.0,False,False,Bangalore,Karnataka
Diesel,90000.0,Manual,Volkswagen,Volkswagen Polo,2012,268000.0,Third Party,Black,1199.0,False,False,Bangalore,Karnataka
Petrol,80648.0,Manual,Maruti,Maruti Ciaz,2020,780000.0,Comprehensive,White,1462.0,False,False,Bangalore,Karnataka
Petrol,81853.0,Manual,Hyundai,Hyundai Creta,2016,864000.0,Comprehensive,White,1591.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Manual,Hyundai,Hyundai Santro Xing,2009,240000.0,Third Party,Other,1086.0,False,False,Bangalore,Karnataka
Petrol,90802.0,Manual,Honda,Honda Brio,2012,341000.0,Comprehensive,Red,1198.0,False,False,Bangalore,Karnataka
Petrol,16502.0,Manual,Hyundai,Hyundai Santro,2021,513000.0,Zero Dep,White,1086.0,False,False,Bangalore,Karnataka
Petrol,31530.0,Manual,Maruti,Maruti Ignis,2021,661000.0,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Maruti,Maruti Ertiga,2017,800000.0,Third Party,Other,1248.0,True,False,Bangalore,Unknown
Diesel,80000.0,Manual,Maruti,Maruti Swift,2015,520000.0,Third Party,Other,1248.0,True,False,Bangalore,Karnataka
Petrol,71086.0,Automatic,Honda,Honda City,2014,600000.0,Comprehensive,Gray,1497.0,False,False,Bangalore,Karnataka
Diesel,110000.0,Manual,Maruti,Maruti Ritz,2011,300000.0,Third Party,Other,1248.0,False,False,Bangalore,Unknown
Petrol,60000.0,Manual,Honda,Honda City,2014,630000.0,Third Party,Other,1497.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Manual,Hyundai,Hyundai i10,2011,275000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,25000.0,Automatic,Honda,Honda Jazz,2016,575000.0,Comprehensive,Silver,1199.0,False,False,Bangalore,Karnataka
Petrol,69210.0,Manual,Honda,Honda Brio,2012,338000.0,Third Party,Silver,1198.0,False,False,Bangalore,Karnataka
Petrol,71165.0,Manual,Honda,Honda Jazz,2018,604000.0,Comprehensive,Red,1199.0,False,False,Bangalore,Karnataka
Diesel,86543.0,Manual,Maruti,Maruti Swift Dzire,2010,327000.0,Third Party,Black,1248.0,True,False,Bangalore,Karnataka
Petrol,67225.0,Automatic,Maruti,Maruti Baleno,2016,621000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,16247.0,Manual,Hyundai,Hyundai Grand i10,2018,621000.0,Zero Dep,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,39481.0,Automatic,Maruti,Maruti Baleno,2017,708000.0,Zero Dep,White,1197.0,False,False,Bangalore,Karnataka
Petrol,61227.0,Manual,Maruti,Maruti Celerio,2018,443000.0,Third Party,Blue,998.0,False,False,Bangalore,Karnataka
Petrol,80000.0,Manual,Honda,Honda City,2006,180000.0,Third Party,Black,1497.0,False,False,Bangalore,Karnataka
Diesel,112521.0,Manual,Renault,Renault Duster,2016,700000.0,Comprehensive,Brown,1461.0,True,False,Bangalore,Karnataka
Diesel,20000.0,Manual,MG,MG Hector,2020,1800000.0,Third Party,Other,1956.0,True,False,Bangalore,Karnataka
Petrol,20000.0,Automatic,Honda,Honda City,2021,1450000.0,Third Party,White,1498.0,False,False,Bangalore,Unknown
Petrol,40000.0,Manual,Tata,Tata Tiago,2018,470000.0,Third Party,Other,1199.0,False,False,Bangalore,Karnataka
Diesel,50000.0,Manual,Renault,Renault Duster,2016,600000.0,Third Party,Black,1461.0,True,False,Bangalore,Karnataka
Petrol,63359.0,Manual,Maruti,Maruti Baleno,2017,649000.0,Third Party,Blue,1197.0,False,False,Bangalore,Karnataka
Diesel,125227.0,Manual,Hyundai,Hyundai i20,2017,657000.0,Zero Dep,Red,1396.0,True,False,Bangalore,Karnataka
Diesel,100000.0,Manual,Volkswagen,Volkswagen Polo,2012,420000.0,Third Party,Other,1199.0,False,False,Bangalore,Karnataka
Diesel,71884.0,Manual,Maruti,Maruti Swift,2015,629000.0,Third Party,Silver,1248.0,True,False,Bangalore,Karnataka
Petrol,79059.0,Manual,Honda,Honda Brio,2012,322000.0,Third Party,Brown,1198.0,False,False,Bangalore,Karnataka
Petrol,80000.0,Manual,Maruti,Maruti Baleno,2016,620000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,69124.0,Manual,Maruti,Maruti Swift,2013,434999.99999999994,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Toyota,Toyota Innova,2012,960000.0,Third Party,Other,2494.0,True,False,Bangalore,Unknown
Petrol,73340.0,Manual,Maruti,Maruti Ritz,2010,317000.0,Comprehensive,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,44268.0,Manual,Hyundai,Hyundai Grand i10,2017,574000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,60000.0,Manual,Honda,Honda Jazz,2018,800000.0,Third Party,Other,1199.0,False,False,Bangalore,Karnataka
Petrol,30000.0,Manual,Honda,Honda City,2020,925000.0,Third Party,Other,1498.0,False,False,Bangalore,Unknown
Petrol,50000.0,Manual,Maruti,Maruti Ciaz,2017,775000.0,Third Party,Other,1373.0,False,False,Bangalore,Karnataka
Diesel,70000.0,Manual,Renault,Renault Duster,2014,500000.0,Third Party,Other,1461.0,True,False,Bangalore,Unknown
Diesel,120000.0,Manual,Maruti,Maruti Swift Dzire,2009,350000.0,Third Party,Other,1248.0,True,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Toyota,Toyota Innova,2012,1125000.0,Third Party,Other,2494.0,True,False,Bangalore,Karnataka
Petrol,20000.0,Automatic,Honda,Honda Amaze,2020,830000.0000000001,Third Party,Other,1199.0,False,False,Bangalore,Unknown
Diesel,37354.0,Automatic,Kia,Kia Seltos,2020,1475000.0,Third Party,Orange,1493.0,True,False,Bangalore,Karnataka
Diesel,80426.0,Manual,Mahindra,Mahindra XUV500,2014,834000.0,Comprehensive,Other,2179.0,True,False,Bangalore,Karnataka
Petrol,89801.0,Manual,Maruti,Maruti Ciaz,2016,674000.0,Comprehensive,Silver,1373.0,False,False,Bangalore,Karnataka
Petrol,69199.0,Manual,Hyundai,Hyundai Grand i10,2019,547000.0,Zero Dep,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,78249.0,Manual,Maruti,Maruti Swift,2012,413000.0,Third Party,Red,1197.0,False,False,Bangalore,Karnataka
Diesel,26918.0,Manual,Toyota,Toyota Innova Crysta,2018,2325000.0,Comprehensive,Gold,2393.0,True,False,Bangalore,Karnataka
Petrol,29905.0,Manual,Maruti,Maruti Swift,2021,709000.0,Zero Dep,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,60442.0,Manual,Honda,Honda Jazz,2017,528000.0,Comprehensive,Brown,1199.0,False,False,Bangalore,Karnataka
Diesel,66463.0,Manual,Renault,Renault Duster,2014,691000.0,Comprehensive,Black,1461.0,True,False,Bangalore,Karnataka
Petrol,40844.0,Automatic,Skoda,Skoda Rapid,2020,1145000.0,Comprehensive,Silver,999.0,True,False,Bangalore,Karnataka
Petrol,62696.0,Manual,Volkswagen,Volkswagen Polo,2021,855000.0000000001,Third Party,White,999.0,True,False,Bangalore,Karnataka
Petrol,30000.0,Automatic,Maruti,Maruti Swift,2021,800000.0,Third Party,Other,1197.0,False,False,Bangalore,Unknown
Petrol,70000.0,Manual,Hyundai,Hyundai i20,2012,400000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Hyundai,Hyundai Verna,2012,375000.0,Third Party,Black,1582.0,True,False,Bangalore,Karnataka
Petrol,40000.0,Manual,Maruti,Maruti Swift Dzire,2020,650000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,10000.0,Automatic,Jeep,Jeep Compass,2021,2550000.0,Third Party,Other,1368.0,False,False,Bangalore,Karnataka
Petrol,79415.0,Manual,Maruti,Maruti Baleno,2016,609000.0,Zero Dep,Blue,1197.0,False,False,Bangalore,Karnataka
Diesel,88411.0,Automatic,Maruti,Maruti Swift Dzire,2017,678000.0,Zero Dep,Red,1248.0,True,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Volkswagen,Volkswagen Vento,2011,375000.0,Third Party,Other,1598.0,True,False,Bangalore,Unknown
Diesel,106516.0,Manual,Maruti,Maruti Swift,2012,449000.0,Third Party,Other,1248.0,True,False,Bangalore,Karnataka
Diesel,88509.0,Manual,Maruti,Maruti Swift,2015,552000.0,Comprehensive,Red,1248.0,True,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Mahindra,Mahindra XUV500,2015,925000.0,Third Party,Silver,1997.0,True,False,Bangalore,Unknown
Petrol,44437.0,Manual,Maruti,Maruti Swift,2013,426000.0,Comprehensive,Other,1197.0,False,False,Bangalore,Karnataka
Diesel,83731.0,Manual,Hyundai,Hyundai i20,2015,607000.0,Third Party,Other,1396.0,True,False,Bangalore,Karnataka
Petrol,23000.0,Automatic,MG,MG Hector,2020,1650000.0,Comprehensive,Black,1451.0,True,False,Bangalore,Karnataka
Diesel,110000.0,Manual,Ford,Ford Figo,2012,240000.0,Third Party,Other,1399.0,True,False,Bangalore,Karnataka
Petrol,30000.0,Automatic,Maruti,Maruti Wagon R,2022,680000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Toyota,Toyota Innova,2006,500000.0,Third Party,Other,2494.0,False,False,Bangalore,Unknown
Petrol,80000.0,Manual,Maruti,Maruti Baleno,2018,720000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,45621.0,Manual,Maruti,Maruti Ciaz,2018,798000.0,Third Party,Silver,1462.0,False,False,Bangalore,Karnataka
Petrol,91660.0,Manual,Hyundai,Hyundai i20,2016,608000.0,Zero Dep,White,1197.0,False,False,Bangalore,Karnataka
Petrol,51947.0,Manual,Honda,Honda City,2015,698000.0,Comprehensive,White,1497.0,False,False,Bangalore,Karnataka
Petrol,27000.0,Automatic,Honda,Honda Brio,2015,535000.0,Comprehensive,White,1198.0,False,False,Bangalore,Karnataka
Petrol,33222.0,Automatic,Hyundai,Hyundai Verna,2017,1035000.0,Zero Dep,Red,1591.0,False,False,Bangalore,Karnataka
Petrol,47333.0,Manual,Hyundai,Hyundai i10,2013,328000.0,Comprehensive,Red,1086.0,False,False,Bangalore,Karnataka
Petrol,20000.0,Automatic,Hyundai,Hyundai Grand i10 Nios,2021,725000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,46000.0,Manual,Hyundai,Hyundai Verna,2017,740000.0,Comprehensive,Other,1591.0,False,False,Bangalore,Karnataka
Diesel,68000.0,Manual,Toyota,Toyota Innova,2012,875000.0,Third Party,Silver,2494.0,True,False,Bangalore,Karnataka
Petrol,90000.0,Manual,Hyundai,Hyundai i10,2010,210000.0,Third Party,Other,1086.0,False,False,Bangalore,Unknown
Diesel,80000.0,Manual,Maruti,Maruti Swift,2014,480000.0,Third Party,Other,1248.0,True,False,Bangalore,Unknown
Diesel,150000.0,Manual,Hyundai,Hyundai Verna,2012,380000.0,Third Party,Other,1582.0,False,False,Bangalore,Unknown
Petrol,20000.0,Manual,Tata,Tata Nexon,2022,1280000.0,Third Party,Other,1199.0,True,False,Bangalore,Karnataka
